regime,regime_label,library,transform,status,supported,early_stopped,num_successful_runs,median_throughput,mean_throughput,std_throughput,cv_throughput,ci95,gpu_peak_allocated_mb,gpu_peak_reserved_mb,reason,source_files
rgb_dataloader_cpu,CPU DataLoader,albumentationsx,RandomCrop224+Pad+Normalize+ToTensor,ok,True,False,3,4866.595973293161,4902.2580742646305,81.76450523970371,0.01667894753826662,92.52524785618702,,,,gcp_runs/prod-c4-standard-16-rgb-dataloader-cpu-topup-r2/results/image-rgb/pipeline/albumentationsx_memory_dataloader_augment_n10000_r2_w8_b256_results.json;gcp_runs/prod-c4-standard-16-rgb-dataloader-cpu/results/image-rgb/pipeline/albumentationsx_memory_dataloader_augment_n10000_r1_w8_b256_results.json
rgb_dataloader_cpu,CPU DataLoader,albumentationsx,RandomCrop224+Perspective+Normalize+ToTensor,ok,True,False,3,3991.9726252808637,4008.107813137785,116.552194392313,0.029079106607431553,131.89122398180527,,,,gcp_runs/prod-c4-standard-16-rgb-dataloader-cpu-topup-r2/results/image-rgb/pipeline/albumentationsx_memory_dataloader_augment_n10000_r2_w8_b256_results.json;gcp_runs/prod-c4-standard-16-rgb-dataloader-cpu/results/image-rgb/pipeline/albumentationsx_memory_dataloader_augment_n10000_r1_w8_b256_results.json
rgb_dataloader_cpu,CPU DataLoader,albumentationsx,RandomCrop224+PhotoMetricDistort+Normalize+ToTensor,ok,True,False,3,4148.99100552892,4167.98200508445,92.86991121391868,0.02228174476296401,105.0921977483863,,,,gcp_runs/prod-c4-standard-16-rgb-dataloader-cpu-topup-r2/results/image-rgb/pipeline/albumentationsx_memory_dataloader_augment_n10000_r2_w8_b256_results.json;gcp_runs/prod-c4-standard-16-rgb-dataloader-cpu/results/image-rgb/pipeline/albumentationsx_memory_dataloader_augment_n10000_r1_w8_b256_results.json
rgb_dataloader_cpu,CPU DataLoader,albumentationsx,RandomCrop224+PlankianJitter+Normalize+ToTensor,ok,True,False,3,4899.355059923485,4902.017774330669,75.38722926727645,0.015378815976971843,85.3086807374073,,,,gcp_runs/prod-c4-standard-16-rgb-dataloader-cpu-topup-r2/results/image-rgb/pipeline/albumentationsx_memory_dataloader_augment_n10000_r2_w8_b256_results.json;gcp_runs/prod-c4-standard-16-rgb-dataloader-cpu/results/image-rgb/pipeline/albumentationsx_memory_dataloader_augment_n10000_r1_w8_b256_results.json
rgb_dataloader_cpu,CPU DataLoader,albumentationsx,RandomCrop224+PlasmaBrightness+Normalize+ToTensor,ok,True,False,3,2671.9837811482407,2670.7890521104414,57.22725025056076,0.021427094815047308,64.75872994080093,,,,gcp_runs/prod-c4-standard-16-rgb-dataloader-cpu-topup-r2/results/image-rgb/pipeline/albumentationsx_memory_dataloader_augment_n10000_r2_w8_b256_results.json;gcp_runs/prod-c4-standard-16-rgb-dataloader-cpu/results/image-rgb/pipeline/albumentationsx_memory_dataloader_augment_n10000_r1_w8_b256_results.json
rgb_dataloader_cpu,CPU DataLoader,albumentationsx,RandomCrop224+PlasmaContrast+Normalize+ToTensor,ok,True,False,3,2155.634253321533,2193.793226384904,84.99333294068553,0.038742636233198645,96.17901035915142,,,,gcp_runs/prod-c4-standard-16-rgb-dataloader-cpu-topup-r2/results/image-rgb/pipeline/albumentationsx_memory_dataloader_augment_n10000_r2_w8_b256_results.json;gcp_runs/prod-c4-standard-16-rgb-dataloader-cpu/results/image-rgb/pipeline/albumentationsx_memory_dataloader_augment_n10000_r1_w8_b256_results.json
rgb_dataloader_cpu,CPU DataLoader,albumentationsx,RandomCrop224+PlasmaShadow+Normalize+ToTensor,ok,True,False,3,2795.5004539381484,2773.87815690917,39.03911971763044,0.014073840849999806,44.17692270468393,,,,gcp_runs/prod-c4-standard-16-rgb-dataloader-cpu-topup-r2/results/image-rgb/pipeline/albumentationsx_memory_dataloader_augment_n10000_r2_w8_b256_results.json;gcp_runs/prod-c4-standard-16-rgb-dataloader-cpu/results/image-rgb/pipeline/albumentationsx_memory_dataloader_augment_n10000_r1_w8_b256_results.json
rgb_dataloader_cpu,CPU DataLoader,albumentationsx,RandomCrop224+Posterize+Normalize+ToTensor,ok,True,False,3,5318.989423072557,5356.0048423251965,65.09307406549529,0.01215328887515279,73.65974751482415,,,,gcp_runs/prod-c4-standard-16-rgb-dataloader-cpu-topup-r2/results/image-rgb/pipeline/albumentationsx_memory_dataloader_augment_n10000_r2_w8_b256_results.json;gcp_runs/prod-c4-standard-16-rgb-dataloader-cpu/results/image-rgb/pipeline/albumentationsx_memory_dataloader_augment_n10000_r1_w8_b256_results.json
rgb_dataloader_cpu,CPU DataLoader,albumentationsx,RandomCrop224+RGBShift+Normalize+ToTensor,ok,True,False,3,4830.704378265731,4851.909631215636,115.85657082563215,0.02387855084526884,131.1040518129887,,,,gcp_runs/prod-c4-standard-16-rgb-dataloader-cpu-topup-r2/results/image-rgb/pipeline/albumentationsx_memory_dataloader_augment_n10000_r2_w8_b256_results.json;gcp_runs/prod-c4-standard-16-rgb-dataloader-cpu/results/image-rgb/pipeline/albumentationsx_memory_dataloader_augment_n10000_r1_w8_b256_results.json
rgb_dataloader_cpu,CPU DataLoader,albumentationsx,RandomCrop224+Rain+Normalize+ToTensor,ok,True,False,3,4528.476287471207,4427.757896665174,199.23035848607861,0.04499576605941614,225.45037416125894,,,,gcp_runs/prod-c4-standard-16-rgb-dataloader-cpu-topup-r2/results/image-rgb/pipeline/albumentationsx_memory_dataloader_augment_n10000_r2_w8_b256_results.json;gcp_runs/prod-c4-standard-16-rgb-dataloader-cpu/results/image-rgb/pipeline/albumentationsx_memory_dataloader_augment_n10000_r1_w8_b256_results.json
